contest,title,english_title,rating,url
第 201 场周赛,找出第 N 个二进制字符串中的第 K 位,Find Kth Bit in Nth Binary String,1479.4837595809,https://leetcode.cn/problems/find-kth-bit-in-nth-binary-string/
第 201 场周赛,和为目标值且不重叠的非空子数组的最大数目,Maximum Number of Non-Overlapping Subarrays With Sum Equals Target,1855.377046154,https://leetcode.cn/problems/maximum-number-of-non-overlapping-subarrays-with-sum-equals-target/
第 201 场周赛,切棍子的最小成本,Minimum Cost to Cut a Stick,2116.493528295,https://leetcode.cn/problems/minimum-cost-to-cut-a-stick/
第 32 场双周赛,第 k 个缺失的正整数,Kth Missing Positive Number,1295.4970938463,https://leetcode.cn/problems/kth-missing-positive-number/
第 32 场双周赛,K 次操作转变字符串,Can Convert String in K Moves,1631.338145683,https://leetcode.cn/problems/can-convert-string-in-k-moves/
第 32 场双周赛,平衡括号字符串的最少插入次数,Minimum Insertions to Balance a Parentheses String,1759.0197295594,https://leetcode.cn/problems/minimum-insertions-to-balance-a-parentheses-string/
第 32 场双周赛,找出最长的超赞子字符串,Find Longest Awesome Substring,2221.7336557442,https://leetcode.cn/problems/find-longest-awesome-substring/
第 200 场周赛,统计好三元组,Count Good Triplets,1279.3383966145,https://leetcode.cn/problems/count-good-triplets/
第 200 场周赛,找出数组游戏的赢家,Find the Winner of an Array Game,1433.0795554833,https://leetcode.cn/problems/find-the-winner-of-an-array-game/
第 200 场周赛,排布二进制网格的最少交换次数,Minimum Swaps to Arrange a Binary Grid,1880.5909929633,https://leetcode.cn/problems/minimum-swaps-to-arrange-a-binary-grid/
第 200 场周赛,最大得分,Get the Maximum Score,1961.4987013156,https://leetcode.cn/problems/get-the-maximum-score/
第 199 场周赛,重新排列字符串,Shuffle String,1193.1328299324,https://leetcode.cn/problems/shuffle-string/
第 199 场周赛,最少的后缀翻转次数,Minimum Suffix Flips,1392.6601629182,https://leetcode.cn/problems/minimum-suffix-flips/
第 199 场周赛,好叶子节点对的数量,Number of Good Leaf Nodes Pairs,1745.6580748712,https://leetcode.cn/problems/number-of-good-leaf-nodes-pairs/
第 199 场周赛,压缩字符串 II,String Compression II,2575.9570281316,https://leetcode.cn/problems/string-compression-ii/
第 31 场双周赛,在区间范围内统计奇数数目,Count Odd Numbers in an Interval Range,1209.3722198224,https://leetcode.cn/problems/count-odd-numbers-in-an-interval-range/
第 31 场双周赛,和为奇数的子数组数目,Number of Sub-arrays With Odd Sum,1610.569398159,https://leetcode.cn/problems/number-of-sub-arrays-with-odd-sum/
第 31 场双周赛,字符串的好分割数目,Number of Good Ways to Split a String,1499.7136257352,https://leetcode.cn/problems/number-of-good-ways-to-split-a-string/
第 31 场双周赛,形成目标数组的子数组最少增加次数,Minimum Number of Increments on Subarrays to Form a Target Array,1872.0350138774,https://leetcode.cn/problems/minimum-number-of-increments-on-subarrays-to-form-a-target-array/
第 198 场周赛,换水问题,Water Bottles,1245.2999833877,https://leetcode.cn/problems/water-bottles/
第 198 场周赛,子树中标签相同的节点数,Number of Nodes in the Sub-Tree With the Same Label,1808.787108831,https://leetcode.cn/problems/number-of-nodes-in-the-sub-tree-with-the-same-label/
第 198 场周赛,最多的不重叠子字符串,Maximum Number of Non-Overlapping Substrings,2362.6480880348,https://leetcode.cn/problems/maximum-number-of-non-overlapping-substrings/
第 198 场周赛,找到最接近目标值的函数值,Find a Value of a Mysterious Function Closest to Target,2383.7724811656,https://leetcode.cn/problems/find-a-value-of-a-mysterious-function-closest-to-target/
第 197 场周赛,好数对的数目,Number of Good Pairs,1160.8899403409,https://leetcode.cn/problems/number-of-good-pairs/
第 197 场周赛,仅含 1 的子串数,Number of Substrings With Only 1s,1351.4184681108,https://leetcode.cn/problems/number-of-substrings-with-only-1s/
第 197 场周赛,概率最大的路径,Path with Maximum Probability,1846.4077077642,https://leetcode.cn/problems/path-with-maximum-probability/
第 197 场周赛,服务中心的最佳位置,Best Position for a Service Centre,2156.9515428364,https://leetcode.cn/problems/best-position-for-a-service-centre/
